target,8503120,8506302,8506038,8591193,8591127,8502572,8503052
8575946,00d00:57:00,00d01:04:00,00d00:41:00,00d00:40:00,00d00:36:00,00d00:45:00,00d00:49:00
8576077,00d00:11:00,00d01:05:00,00d01:10:00,00d00:58:00,00d00:55:00,00d01:00:00,00d01:00:00
8576079,00d00:08:00,00d00:58:00,00d01:10:00,00d00:58:00,00d00:58:00,00d00:59:00,00d01:01:00
8576090,00d00:07:00,00d00:56:00,00d01:09:00,00d00:57:00,00d00:57:00,00d00:57:00,00d01:00:00
8576102,00d00:10:00,00d01:07:00,00d00:57:00,00d00:45:00,00d00:45:00,00d00:48:00,00d00:43:00
8576103,00d00:06:00,00d01:03:00,00d00:59:00,00d00:47:00,00d00:47:00,00d00:50:00,00d00:45:00
8576129,00d00:33:00,00d01:10:00,00d00:41:00,00d00:37:00,00d00:30:00,00d00:42:00,00d00:41:00
8576130,00d00:51:00,00d01:09:00,00d00:42:00,00d00:45:00,00d00:41:00,00d00:43:00,00d00:53:00
8576131,00d00:52:00,00d01:08:00,00d00:43:00,00d00:44:00,00d00:40:00,00d00:44:00,00d00:53:00
8576133,00d00:54:00,00d01:06:00,00d00:43:00,00d00:42:00,00d00:38:00,00d00:46:00,00d00:51:00
8576135,00d00:53:00,00d01:00:00,00d00:37:00,00d00:36:00,00d00:32:00,00d00:41:00,00d00:45:00
8576152,00d01:03:00,00d01:10:00,00d00:54:00,00d00:25:00,00d00:24:00,00d00:35:00,00d00:35:00
8576171,00d00:58:00,00d01:05:00,00d00:46:00,00d00:45:00,00d00:37:00,00d00:49:00,00d00:50:00
8576173,00d01:02:00,00d01:09:00,00d00:46:00,00d00:45:00,00d00:40:00,00d00:49:00,00d00:54:00
8576177,00d01:09:00,00d00:59:00,00d00:28:00,00d00:56:00,00d00:48:00,00d00:59:00,00d01:01:00
8576178,00d01:04:00,00d00:50:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:51:00,00d00:50:00
8576179,00d01:03:00,00d00:48:00,00d00:22:00,00d00:44:00,00d00:40:00,00d00:50:00,00d00:49:00
8576180,00d01:00:00,00d00:45:00,00d00:19:00,00d00:41:00,00d00:37:00,00d00:49:00,00d00:46:00
8576181,00d00:59:00,00d00:43:00,00d00:17:00,00d00:39:00,00d00:35:00,00d00:47:00,00d00:45:00
8576227,00d01:06:00,00d01:03:00,00d00:12:00,00d00:39:00,00d00:35:00,00d00:48:00,00d00:48:00
8576231,00d01:09:00,00d01:10:00,00d00:15:00,00d00:56:00,00d00:53:00,00d00:56:00,00d00:55:00
8576232,00d01:08:00,00d01:09:00,00d00:14:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8576234,00d01:07:00,00d01:08:00,00d00:13:00,00d00:54:00,00d00:51:00,00d00:59:00,00d00:53:00
8576297,00d01:08:00,00d00:59:00,00d00:07:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8576746,00d01:09:00,00d00:50:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:54:00,00d00:55:00
8578526,00d00:07:00,00d01:01:00,00d01:10:00,00d00:58:00,00d00:58:00,00d01:01:00,00d01:01:00
8578562,00d00:19:00,00d01:10:00,00d01:10:00,00d00:58:00,00d00:58:00,00d01:01:00,00d01:01:00
8578826,00d01:02:00,00d00:24:00,00d00:44:00,00d01:08:00,00d00:52:00,00d01:04:00,00d01:04:00
8580262,00d01:08:00,00d01:09:00,00d00:14:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8580263,00d01:07:00,00d01:08:00,00d00:13:00,00d00:54:00,00d00:51:00,00d00:59:00,00d00:53:00
8580264,00d01:06:00,00d01:07:00,00d00:12:00,00d00:53:00,00d00:50:00,00d00:58:00,00d00:52:00
8580265,00d01:04:00,00d00:55:00,00d00:09:00,00d00:41:00,00d00:37:00,00d00:48:00,00d00:50:00
8580301,00d00:59:00,00d01:02:00,00d00:41:00,00d00:22:00,00d00:16:00,00d00:31:00,00d00:31:00
8580430,00d01:02:00,00d00:43:00,00d00:18:00,00d00:39:00,00d00:35:00,00d00:46:00,00d00:48:00
8580435,00d00:59:00,00d01:06:00,00d00:49:00,00d00:29:00,00d00:22:00,00d00:37:00,00d00:41:00
8580443,00d00:53:00,00d01:06:00,00d00:50:00,00d00:16:00,00d00:08:00,00d00:36:00,00d00:43:00
8580449,00d00:43:00,00d01:08:00,00d00:44:00,00d00:09:00,00d00:02:00,00d00:22:00,00d00:22:00
8580455,00d01:06:00,00d00:47:00,00d00:21:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8580456,00d01:08:00,00d00:49:00,00d00:23:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:54:00
8580458,00d01:04:00,00d00:45:00,00d00:19:00,00d00:41:00,00d00:37:00,00d00:49:00,00d00:50:00
8580459,00d01:09:00,00d00:51:00,00d00:25:00,00d00:47:00,00d00:43:00,00d00:54:00,00d00:55:00
8580461,00d01:05:00,00d00:46:00,00d00:20:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:51:00
8580472,00d01:02:00,00d00:43:00,00d00:13:00,00d00:39:00,00d00:35:00,00d00:46:00,00d00:48:00
8580521,00d01:02:00,00d00:44:00,00d00:12:00,00d00:40:00,00d00:36:00,00d00:47:00,00d00:48:00
8580622,00d01:05:00,00d01:05:00,00d00:49:00,00d00:26:00,00d00:21:00,00d00:40:00,00d00:47:00
8580636,00d01:05:00,00d01:05:00,00d00:49:00,00d00:26:00,00d00:21:00,00d00:40:00,00d00:47:00
8580798,00d01:01:00,00d00:59:00,00d00:06:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:47:00
8581755,00d01:10:00,00d01:06:00,00d00:16:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8582398,00d01:08:00,00d00:49:00,00d00:23:00,00d00:45:00,00d00:41:00,00d00:52:00,00d00:54:00
8582739,00d01:09:00,00d01:09:00,00d00:54:00,00d00:33:00,00d00:28:00,00d00:47:00,00d00:51:00
8587017,00d01:01:00,00d00:51:00,00d00:06:00,00d00:38:00,00d00:34:00,00d00:53:00,00d00:47:00
8587348,00d00:41:00,00d01:09:00,00d00:37:00,00d00:12:00,00d00:18:00,00d00:12:00,00d00:14:00
8587349,00d00:41:00,00d01:09:00,00d00:37:00,00d00:10:00,00d00:17:00,00d00:14:00,00d00:14:00
8587420,00d00:55:00,00d01:02:00,00d00:46:00,00d00:22:00,00d00:21:00,00d00:38:00,00d00:38:00
8587654,00d00:50:00,00d01:10:00,00d00:54:00,00d00:18:00,00d00:10:00,00d00:35:00,00d00:37:00
8587655,00d00:37:00,00d01:03:00,00d00:40:00,00d00:17:00,00d00:13:00,00d00:25:00,00d00:26:00
8587799,00d00:52:00,00d01:03:00,00d00:39:00,00d00:16:00,00d00:15:00,00d00:34:00,00d00:34:00
8587943,00d00:07:00,00d00:59:00,00d01:09:00,00d00:57:00,00d00:57:00,00d01:00:00,00d01:00:00
8588035,00d00:07:00,00d01:02:00,00d01:10:00,00d00:58:00,00d00:58:00,00d01:01:00,00d01:01:00
8588279,00d00:57:00,00d01:04:00,00d00:41:00,00d00:40:00,00d00:36:00,00d00:45:00,00d00:49:00
8588311,00d00:54:00,00d01:01:00,00d00:38:00,00d00:37:00,00d00:33:00,00d00:42:00,00d00:46:00
8588312,00d00:56:00,00d01:03:00,00d00:40:00,00d00:39:00,00d00:35:00,00d00:44:00,00d00:48:00
8588314,00d00:44:00,00d01:00:00,00d00:35:00,00d00:20:00,00d00:16:00,00d00:27:00,00d00:29:00
8588318,00d01:02:00,00d01:09:00,00d00:46:00,00d00:25:00,00d00:21:00,00d00:32:00,00d00:34:00
8588319,00d01:01:00,00d01:08:00,00d00:45:00,00d00:23:00,00d00:19:00,00d00:30:00,00d00:32:00
